(fic) Current ISO Country Code - Incorporation,(costat) Active/Inactive Status Marker,(datafmt) Data Format,(indfmt) Industry Format,(consol) Level of Consolidation - Company Annual Descriptor,(gvkey) Global Company Key - Company,(datadate) Data Date,(conm) Company Name,(fyear) Data Year - Fiscal,(at) Assets - Total,(lt) Liabilities - Total,(oiadp) Operating Income After Depreciation,(seq) Stockholders Equity - Parent,(nicon) Net Income (Loss) - Consolidated
ESP,A,HIST_STD,INDL,C,100957,31/12/18,IBERDROLA SA,2018,113037.923,69061.369,5403.346,38307.751,3065.219
ESP,A,HIST_STD,INDL,C,100957,31/12/19,IBERDROLA SA,2019,122369.006,75174.341,5778.145,37678.307,3471.665
ESP,A,HIST_STD,INDL,C,100957,31/12/20,IBERDROLA SA,2020,122518,75300,5532,35412,3555
ESP,A,HIST_STD,INDL,C,100957,31/12/21,IBERDROLA SA,2021,141752,85626,7330,40479,3765
ESP,A,HIST_STD,INDL,C,100957,31/12/22,IBERDROLA SA,2022,154667,96553,7957,41119,4241
ESP,A,HIST_STD,INDL,C,100957,31/12/23,IBERDROLA SA,2023,150033,89741,9013,43111,4621
ESP,A,HIST_STD,INDL,C,100957,31/12/24,IBERDROLA SA,2024,158293,97242,9465,47125,5412
ITA,A,HIST_STD,INDL,C,201794,31/12/18,ENEL SPA,2018,165424,117572,9371,31720,4789
ITA,A,HIST_STD,INDL,C,201794,31/12/19,ENEL SPA,2019,171426,124488,10530,30377,2174
ITA,A,HIST_STD,INDL,C,201794,31/12/20,ENEL SPA,2020,163453,121096,10959,28325,2610
ITA,A,HIST_STD,INDL,C,201794,31/12/21,ENEL SPA,2021,206940,164598,8156,29653,3189
ITA,A,HIST_STD,INDL,C,201794,31/12/22,ENEL SPA,2022,219618,177536,10436,28657,3514
ITA,A,HIST_STD,INDL,C,201794,31/12/23,ENEL SPA,2023,195224,150115,12780,31755,3631
ITA,A,HIST_STD,INDL,C,201794,31/12/24,ENEL SPA,2024,187139,137968,14005,33731,6770
DNK,A,HIST_STD,INDL,C,232646,31/12/18,ORSTED A/S,2018,174575,89460,7524,81727,17816
DNK,A,HIST_STD,INDL,C,232646,31/12/19,ORSTED A/S,2019,192860,103298,12277,86314,6562
DNK,A,HIST_STD,INDL,C,232646,31/12/20,ORSTED A/S,2020,196719,99390,8134,94608,15121
DNK,A,HIST_STD,INDL,C,232646,31/12/21,ORSTED A/S,2021,270385,185248,10421,82056,10222
DNK,A,HIST_STD,INDL,C,232646,31/12/22,ORSTED A/S,2022,314142,218610,11304,91536,14549
DNK,A,HIST_STD,INDL,C,232646,31/12/23,ORSTED A/S,2023,281136,203345,12737,75885,-21059
DNK,A,HIST_STD,INDL,C,232646,31/12/24,ORSTED A/S,2024,298786,205302,14118,83093,-923
USA,A,HIST_STD,INDL,C,004517,31/12/18,NEXTERA ENERGY INC,2018,103702,65821,4315,34144,6638
USA,A,HIST_STD,INDL,C,004517,31/12/19,NEXTERA ENERGY INC,2019,117691,75844,5622,37005,3769
USA,A,HIST_STD,INDL,C,004517,31/12/20,NEXTERA ENERGY INC,2020,127684,82755,5299,36513,2919
USA,A,HIST_STD,INDL,C,004517,31/12/21,NEXTERA ENERGY INC,2021,140912,95243,2941,37202,3573
USA,A,HIST_STD,INDL,C,004517,31/12/22,NEXTERA ENERGY INC,2022,158935,109499,4081,39229,4147
USA,A,HIST_STD,INDL,C,004517,31/12/23,NEXTERA ENERGY INC,2023,177489,118465,10237,47468,7310
USA,A,HIST_STD,INDL,C,004517,31/12/24,NEXTERA ENERGY INC,2024,190144,129283,7479,50101,6946
